"cod_cent";"id";"nombre";"tipo_elem";"x";"y"
"PM22901";6771;"PM22901";"M30";439800,141176981;4481377,33192929
"PM22971";3494;"PM22971";"M30";440461,4583563;4481590,77472115
"PM23071";6773;"PM23071";"M30";441462,770189269;4481765,10249052
"PM23181";6776;"PM23181";"M30";442289,640561756;4481642,83680347
"PM23187";6931;"PM23187";"M30";442296,748143147;4481634,96229555
"PM21188";6760;"PM21188";"M30";442200,297446894;4470906,94513482
"PM22641";6770;"PM22641";"M30";437609,341411775;4480546,88540717
"PM22721";3598;"PM22721";"M30";438204,826276156;4480499,44003223
"PM22781";3599;"PM22781";"M30";438755,884725261;4480755,94255088
"PM30901";3600;"PM30901";"M30";443643,121257783;4473057,50687704
"PM33201";6787;"PM33201";"M30";444065,37264996;4481571,23925208
"PM33202";6788;"PM33202";"M30";444063,281071223;4481562,04519156
"PM20913";6751;"PM20913";"M30";443613,452415339;4473193,99012468
"PM33221";6932;"PM33221";"M30";442998,188554914;4481702,02910946
"PM33222";7128;"PM33222";"M30";442998,330106905;4481694,55587711
"PM40751";6790;"PM40751";"M30";444419,574053885;4474336,35621045
"PM40752";7131;"PM40752";"M30";444420,888266569;4474349,26124008
"PM40753";3827;"PM40753";"M30";443522,386954329;4474632,7171956
"PM40754";3828;"PM40754";"M30";443525,251053552;4474640,60443221
"PM30462";3539;"PM30462";"M30";444108,635187891;4477264,21943139
"PM30471";3536;"PM30471";"M30";444132,713299051;4476990,88909334
"PM40901";6791;"PM40901";"M30";443647,791467041;4473068,39709306
"PM40902";6792;"PM40902";"M30";443648,986309437;4473077,04219429
"PM43012";6803;"PM43012";"M30";440873,166836487;4482160,0601739
"PM43021";6804;"PM43021";"M30";440684,103810892;4482813,71435649
"PM43022";3706;"PM43022";"M30";440677,266644124;4482808,12445193
"PM43031";6805;"PM43031";"M30";440642,53486805;4483219,24979338
"PM43032";6806;"PM43032";"M30";440633,3310543;4483222,69095977
"PM43151";6807;"PM43151";"M30";441900,741118588;4481360,08729347
"PM43152";6808;"PM43152";"M30";441891,955023849;4481360,30951618
"PM43201";6809;"PM43201";"M30";444065,316509731;4481585,74831358
"PM43202";6810;"PM43202";"M30";444067,760452618;4481594,38477012
"PM43221";6933;"PM43221";"M30";443003,125903452;4481709,05942662
"PM10502";3819;"PM10502";"M30";444063,733895114;4476902,36458825
"11RE59PM01";6887;"11RE59PM01";"M30";441550,772505781;4471043,17915878
"11RE59PM02";6886;"11RE59PM02";"M30";441566,038499786;4471054,89486709
"11XC46PM01";6879;"11XC46PM01";"M30";442451,456014073;4471422,62546394
"12XC06PM01";6876;"12XC06PM01";"M30";441861,911399188;4471142,49986318
"14NC58PM01";7117;"14NC58PM01";"M30";439867,079517007;4472029,04716743
"PM20261";6720;"PM20261";"M30";443554,742793439;4479247,59483916
"14NL78PM01";6866;"14NL78PM01";"M30";439990,531315656;4471978,33615162
"14RA02PM01";6869;"14RA02PM01";"M30";440411,752405344;4471734,05484917
"PM10212";6647;"PM10212";"M30";443315,261779653;4479741,40940156
"PM10343";6652;"PM10343";"M30";443741,246000283;4478411,98502004
"PM10241";6648;"PM10241";"M30";443472,740476978;4479401,30134039
"PM10242";6649;"PM10242";"M30";443453,056734211;4479397,29238222
"PM10401";6654;"PM10401";"M30";443805,71879701;4477897,59770381
"PM10402";6655;"PM10402";"M30";443783,795400772;4477893,82529915
"PM10441";6656;"PM10441";"M30";443918,394545558;4477435,35803101
"15NC71PM01";6849;"15NC71PM01";"M30";439213,161290944;4472427,34393205
"15RT07PM01";1036;"15RT07PM01";"M30";439490,486974164;4472113,31272267
"15RU11PM01";1035;"15RU11PM01";"M30";439489,199308708;4472104,81424784
"PM20873";10177;"PM20873";"M30";443756,887303332;4473479,57853506
"PM30472";6819;"PM30472";"M30";444119,26946144;4477088,08095277
"12NC07PM01";6877;"12NC07PM01";"M30";441848,348725237;4471188,53338551
"12NC63PM01";6875;"12NC63PM01";"M30";441405,442988069;4471218,63248216
"18RA66PM01";1012;"18RA66PM01";"M30";438740,943151616;4474609,72421867
"15RV01PM01";6862;"15RV01PM01";"M30";439599,089949122;4472287,85792277
