zone;int;intmax;%;x;y;name
18;0;1800;0,00;436008,175534995;4472593,78531503;SEPÚLVEDA ENTRADA CRUCE  N-S
18;450;1500;30,00;436039,395885266;4472397,54735486;C.FCO.J.JIMENEZ ENTRE BERLANAS-SEPULVEDA  E-O
18;225;3300;6,82;436718,47941987;4472479,32966933;CJAL. FCO.J. JIMENEZ O-E(A. MORAN-ALHAMBRA)
18;90;1500;6,00;436901,191978887;4472515,03855835;C.FCO.J.JIMENEZ ENTRE HURTUMPASCUAL-ALHAMBRA  E-O
18;315;1800;17,50;436809,282736645;4472417,70771877;ALHAMBRA ENTRE C.FCO.J.MARTIN-C.POBLET  N-S
18;225;1800;12,50;436817,856527503;4472411,35988367;ALHAMBRA ENTRE C.POBLET-C.FCO.J.MARTIN  S-N
18;450;1600;28,13;436850,142524583;4472212,06218923;ALHAMBRA ENTRE GTA.CARMENES-PTA.IGLESIA  S-N
18;45;800;5,63;436805,77031705;4472312,22610969;C.POBLET ENTRADA A C/ ALHAMBRA  O-E
18;225;1700;13,24;436868,716710766;4472057,17258789;ALHAMBRA ENTRE CULLERA Y GTA.CARMENES  N-S
18;90;1200;7,50;436977,610290577;4471940,43886587;GALLUR ENTRE ESCALONILLA Y GTA.CARMENES  E-O
18;360;3300;10,91;436814,868760616;4471877,03522707;DUQUESA DE PARCENT ENTRADA GTA.CARMENES  O-E
18;360;2000;18,00;436948,624418082;4471825,08634181;ALHAMBRA ENTRE CULLERA Y GTA.CARMENES  N-S
18;720;3400;21,18;437066,803348522;4471692,16387265;N.S.VALVANERA ENTRE LAGUNA-V.CARPETANA  N-S
18;180;1500;12,00;437207,877265405;4471728,31227492;V.CARPETANA ENTRE ATECA-N.SRA.VALVANERA  E-O
18;315;1500;21,00;437217,295405096;4471732,15516418;V.CARPETANA ENTRE ALBENTOSA-CASTELFLORITE  O-E
18;360;4500;8,00;437164,828862733;4471604,07802877;N.S.VALVANERA ENTRE A.PAVAS-V.CARPETANA  S-N
